127.0.0.1, 2018-05-10 19:38:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.156253
127.0.0.1, 2018-05-10 19:38:44, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 4.023943
127.0.0.1, 2018-05-10 19:39:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.187500
127.0.0.1, 2018-05-10 19:39:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.194591
127.0.0.1, 2018-05-10 19:40:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.187457
127.0.0.1, 2018-05-10 19:40:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.110811
127.0.0.1, 2018-05-10 19:41:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.187454
127.0.0.1, 2018-05-10 19:41:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.180302
127.0.0.1, 2018-05-10 19:42:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234334
127.0.0.1, 2018-05-10 19:42:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.176459
127.0.0.1, 2018-05-10 19:43:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234316
127.0.0.1, 2018-05-10 19:43:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.144762
127.0.0.1, 2018-05-10 19:44:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.265583
127.0.0.1, 2018-05-10 19:44:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.208661
127.0.0.1, 2018-05-10 19:45:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249959
127.0.0.1, 2018-05-10 19:45:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.152072
127.0.0.1, 2018-05-10 19:46:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.265585
127.0.0.1, 2018-05-10 19:46:41, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.174342
127.0.0.1, 2018-05-10 19:47:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249960
127.0.0.1, 2018-05-10 19:47:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.176272
127.0.0.1, 2018-05-10 19:48:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249961
127.0.0.1, 2018-05-10 19:48:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.190509
127.0.0.1, 2018-05-10 19:49:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.203112
127.0.0.1, 2018-05-10 19:49:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.187618
127.0.0.1, 2018-05-10 19:50:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234318
127.0.0.1, 2018-05-10 19:50:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.234813
127.0.0.1, 2018-05-10 19:51:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.265568
127.0.0.1, 2018-05-10 19:51:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.195832
127.0.0.1, 2018-05-10 19:52:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.250001
127.0.0.1, 2018-05-10 19:52:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.359494
127.0.0.1, 2018-05-10 19:53:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.232608
127.0.0.1, 2018-05-10 19:53:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.424788
127.0.0.1, 2018-05-10 19:54:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234376
127.0.0.1, 2018-05-10 19:54:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.420470
127.0.0.1, 2018-05-10 19:55:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.265561
127.0.0.1, 2018-05-10 19:55:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.185508
127.0.0.1, 2018-05-10 19:56:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234370
127.0.0.1, 2018-05-10 19:56:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.261264
